,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_attention,param_dropout,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,15.17928171157837,0.21835157872681493,1.6837987899780273,0.17243303301060534,additive,0.2,"{'attention': 'additive', 'dropout': 0.2}",-0.10717954486608505,-0.02439657226204872,-0.24612802267074585,-0.12590137993295988,0.0914843861224037,4
1,15.04288132985433,0.05080023288957937,1.7710330486297607,0.05724380174790252,additive,0.3,"{'attention': 'additive', 'dropout': 0.3}",-0.10631716251373291,-0.024452457204461098,-0.24799364805221558,-0.12625442259013653,0.09234279165487567,8
2,15.108864625295004,0.14300310398572733,1.9655025005340576,0.5227100558393212,additive,0.4,"{'attention': 'additive', 'dropout': 0.4}",-0.10687479376792908,-0.024073202162981033,-0.24881379306316376,-0.1265872629980246,0.09280272762478993,11
3,16.471985340118408,0.5372266555955737,1.7009063561757405,0.2463124371538269,additive,0.5,"{'attention': 'additive', 'dropout': 0.5}",-0.10599572211503983,-0.025152601301670074,-0.24885082244873047,-0.1266663819551468,0.09248668614007403,12
4,15.016849994659424,0.2999823038860039,2.4641440709431968,0.25552717495224486,attention,0.2,"{'attention': 'attention', 'dropout': 0.2}",-0.1060137152671814,-0.024909278377890587,-0.248439222574234,-0.126454072073102,0.09239323614446428,10
5,14.441575686136881,0.6096439935279333,2.522353172302246,0.3018733851196911,attention,0.3,"{'attention': 'attention', 'dropout': 0.3}",-0.10697680711746216,-0.02532919868826866,-0.247728168964386,-0.1266780582567056,0.0918565184306771,13
6,14.285589218139648,0.337553225626526,2.5040233929951987,0.15112701955103816,attention,0.4,"{'attention': 'attention', 'dropout': 0.4}",-0.10422596335411072,-0.024525422602891922,-0.2494533807039261,-0.1260682555536429,0.09311627455417394,6
7,15.976297696431478,0.48628575284423114,1.8276813824971516,0.20033476322343707,attention,0.5,"{'attention': 'attention', 'dropout': 0.5}",-0.10571018606424332,-0.023751534521579742,-0.24691757559776306,-0.12545976539452872,0.09217123515572022,1
8,15.166078249613443,0.04454252142727748,2.685704469680786,0.0184755115128307,soft,0.2,"{'attention': 'soft', 'dropout': 0.2}",-0.10608258098363876,-0.024358021095395088,-0.2477845996618271,-0.12607506724695364,0.09230252301613835,7
9,15.65813660621643,0.5422831421487824,2.3173057238260903,0.31989496557247094,soft,0.3,"{'attention': 'soft', 'dropout': 0.3}",-0.10453920811414719,-0.024385955184698105,-0.24769896268844604,-0.12554137532909712,0.09236880101306134,2
10,16.45631734530131,0.9485313541227186,2.0291016896565757,0.6024477005272902,soft,0.4,"{'attention': 'soft', 'dropout': 0.4}",-0.10447197407484055,-0.02382047288119793,-0.24892279505729675,-0.12573841400444508,0.09311985095466185,3
11,14.945273240407309,0.07074338041705273,2.9631520907084146,0.10770383410139513,soft,0.5,"{'attention': 'soft', 'dropout': 0.5}",-0.1061660647392273,-0.024476394057273865,-0.24982553720474243,-0.12682266533374786,0.09315070384567053,15
12,15.964555422465006,0.20609923083721318,1.73678986231486,0.1311119886785285,time,0.2,"{'attention': 'time', 'dropout': 0.2}",-0.1046372726559639,-0.02393016219139099,-0.24930711090564728,-0.1259581819176674,0.09323671712991784,5
13,15.979785521825155,0.8848036339076565,2.1174651781717935,0.5774660141065341,time,0.3,"{'attention': 'time', 'dropout': 0.3}",-0.10648860782384872,-0.023996220901608467,-0.25016075372695923,-0.12688186081747213,0.09345056644299073,16
14,15.544909954071045,0.5879156588629983,2.2135274410247803,0.5303666108830491,time,0.4,"{'attention': 'time', 'dropout': 0.4}",-0.10463514178991318,-0.024179978296160698,-0.25034597516059875,-0.12638703174889088,0.09360421312459483,9
15,16.36711573600769,0.5929695255392724,0.8537751833597819,0.439014671394545,time,0.5,"{'attention': 'time', 'dropout': 0.5}",-0.10645115375518799,-0.024794017896056175,-0.24889154732227325,-0.12671223965783915,0.0926024095266047,14
