,mse,rmse,rmsle,mape,r2
model0,8399511902.917364,91648.85107254409,0.1066940793772495,7.933147755199981,0.7833823031175203
model1,68504547478.01186,261733.73393204756,0.2141689818400827,18.414882948649346,-0.7666856684266794
model2,14902557159.698406,122076.03024221589,0.12677317937394622,10.337678368917684,0.6156731906681201
model3,8511733938.659854,92259.05884334532,0.12081871769228474,9.010314623603044,0.7804881731724745
model4,234946073577.3634,484712.3616923375,0.36360372371786503,40.21498915099021,-5.059099378409534
model5,10477112176.097492,102357.7655876558,0.11683246700297163,8.759871192197496,0.729802405687721
model6,31223808338.770752,176702.59856258694,0.15650692843076414,14.011453417602546,0.1947592278671212
model7,172758665179.0201,415642.47278041753,0.3076792581423654,31.27144608350589,-3.4553284286165447
model8,9009278851.129438,94917.22104618023,0.11987974631577122,9.153958231480757,0.7676568284133436
model9,32078371882.753998,179104.36031195332,0.15867996675395418,14.240525525607769,0.17272061551952922
Average,59081166048.442276,202115.44540712843,0.1791637048647255,16.33482672977547,-0.5236630731006927
